id,func_dp_nr,func_dp_naam,func_systeem,gbs_naam,object-id_gbs,opmerking
1,1,totaal warmtegebruik warm,warmtepomp(en),11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh,6404863b-d6f6-530b-a8b4-345759d38c36,
2,2,totaal debiet,warmtepomp(en),11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal debiet,971e304d-e5b4-5c9c-b279-b5deb6d0477e,
3,3,status,warmtepomp(en),11.02 DUNANT 1 - Warmtepomp.HVAC.11.02.090.002.K1 - Status,dbccce07-3909-5845-8635-ffef49677026,
4,4,temperatuur vertrek,warmtepomp(en),11.02 DUNANT 1 - Warmtepomp.Intrede warme kant - Temperatuur,861ce3ab-3969-5acd-9329-b0f061a92f34,
5,5,gevraagde temperatuur,warmtepomp(en),11.02 DUNANT 1 - Warmteproduktie.Berekend setpunt vertrektemperatuur,dfeaf4ae4-c4a1-508a-bd4a-1d7844a422df,
6,6,temperatuur retour,warmtepomp(en),11.02 DUNANT 1 - Warmtepomp.Uittrede warme kant - Temperatuur,67cf8e89-dee6-5c45-8e62-3d21daf334df,
7,7,status pomp,warmtepomp(en),11.02 DUNANT 1 - Productie warmtepomp.Pomp 090.002.P4 - Status,27650763-8a19-5235-b630-8e6d1faa5cf0,
8,8,temperatuur vertrek,gasketel(s),11.02 DUNANT 1 - Warmteproduktie ketel.Primair WW - Vertrekwater - Temperatuur,62406ffb-26fd-5f9e-a8e4-d8c65b4a9697,
9,9,gevraagde temperatuur,gasketel(s),11.02 DUNANT 1 - Warmteproduktie ketel.Berekend setpunt,acc085e2-86f6-542b-9c0f-963817b03e74,
10,10,status,gasketel(s),11.02 DUNANT 1 - Warmteproduktie ketel.Ketel 1 - Status,e74627ba-482a-57c3-8d42-4bfbafde2fd0,
11,11,temperatuur retour,gasketel(s),11.02 DUNANT 1 - Warmteproduktie ketel.Primair WW - Retourwater - Temperatuur,b1b61a4f-0b9d-5c26-b609-4c5c4207a1f0,
12,12,status pomp,gasketel(s),11.02 DUNANT 1 - Warmteproduktie ketel.Ketel 1 - Pomp - Status,ea58dcba-01ab-5d7b-91bc-0febfc0230fc,
13,13,totaal warmtegebruik warm injectie,gasketel(s),11.02 DUNANT 1 - ENERGIEMETER KRING INJECTIE Totaal energieverbruik warm MWh,baf2c959-b51d-55db-b34f-4a6fc115d0f2,
14,14,totaal debiet injectie,gasketel(s),11.02 DUNANT 1 - ENERGIEMETER KRING INJECTIE Totaal debiet,3def49c2-5dca-53b6-a336-28b6137f1765,
15,15,stand klep injectie,gasketel(s),11.02 DUNANT 1 - Warmtedist HT - Kring 03 - Injectie LTV.Mengklep - Sturing,8809dd6f-e700-50fe-bca0-8aff75f0f3c9,percentage tussen 0 en 100
16,16,totaal warmtegebruik warm,collector,11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh,6404863b-d6f6-530b-a8b4-345759d38c36,
17,16,totaal warmtegebruik warm,collector,11.02 DUNANT 1 - ENERGIEMETER KETEL Totaal energieverbruik warm,c6d6da30-5e75-50e0-9358-d7c14da58035,
18,17,totaal debiet,collector,11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal debiet,971e304d-e5b4-5c9c-b279-b5deb6d0477e,
19,17,totaal debiet,collector,11.02 DUNANT 1 - ENERGIEMETER KETEL Totaal debiet,93690daf-00e9-54c8-8f6c-1f487c196888,
20,18,temperatuur vertrek,collector,11.02 DUNANT 1 - Productie warmtepomp.Vertrekwater koeling-verwarming - Temperatuur,6cdf65c7-ba2d-5283-b134-30e9ce282541,
21,19,temperatuur retour,collector,11.02 DUNANT 1 - Productie warmtepomp.Retourwater koeling-verwarming - Temperatuur,3f3cb116-10bd-54a7-9d2a-ee78786f8790,
22,20,status pomp,collector,11.02 DUNANT 1 - Productie warmtepomp.Pomp 090.002.P5 - Status,e153259e-2f2a-5485-a849-b662d063ca56,
23,21,gevraagde temperatuur pulsielucht,luchtgroep 1,11.02 DUNANT 1 -LG 11.02.120.001.PGEG01 - Kantoren.Uitblaaslucht - Werkings - Setpunt,25995536-d2fd-5147-b8b8-628d3f99981e,
24,22,temperatuur pulsielucht,luchtgroep 1,11.02 DUNANT 1 -LG 11.02.120.001.PGEG01 - Kantoren.Uitblaaslucht - Temperatuur,269d4a94-e671-5f4d-8afa-6bce314fb5a0,
25,23,temperatuur extractielucht,luchtgroep 1,11.02 DUNANT 1 -LG 11.02.120.001.PGEG01 - Kantoren.Afvoerlucht - Temperatuur,4ca4a5d3-7640-5863-8588-e40cabd8ec0b,
26,24,druk of debiet pulsiekanaal,luchtgroep 1,11.02 DUNANT 1 -LG 11.02.120.001.PGEG01 - Kantoren.Uitblaaslucht - Statische Druk,c1802c32-0d6b-580f-9b67-d0d1ffe969ba,
