id,func_dp_nr,func_dp_naam,func_systeem,gbs_naam,object-id_gbs,opmerking
,1,totaal warmtegebruik warm,warmtepomp(en),,,
,2,totaal debiet,warmtepomp(en),,,
,3,status,warmtepomp(en),,,
,4,temperatuur vertrek,warmtepomp(en),,,
,5,gevraagde temperatuur,warmtepomp(en),,,
,6,temperatuur retour,warmtepomp(en),,,
,7,status pomp,warmtepomp(en),,,
,8,temperatuur vertrek,gasketel(s),,,
,9,gevraagde temperatuur,gasketel(s),,,
,10,status,gasketel(s),,,
,11,temperatuur retour,gasketel(s),,,
,12,status pomp,gasketel(s),,,
,13,totaal warmtegebruik warm injectie,gasketel(s),,,
,14,totaal debiet injectie,gasketel(s),,,
,15,stand klep injectie,gasketel(s),,,
,16,totaal warmtegebruik warm,collector,,,
,17,totaal debiet,collector,,,
,18,temperatuur vertrek,collector,,,
,19,temperatuur retour,collector,,,
,20,status pomp,collector,,,
,21,gevraagde temperatuur pulsielucht,luchtgroep 1,,,
,22,temperatuur pulsielucht,luchtgroep 1,,,
,23,temperatuur extractielucht,luchtgroep 1,,,
,24,druk of debiet pulsiekanaal,luchtgroep 1,,,
,25,druk of debiet extractiekanaal,luchtgroep 1,,,
,26,temperatuur verse lucht,luchtgroep 1,,,
,27,sturing pulsieventilator,luchtgroep 1,,,
,28,sturing extractieventilator,luchtgroep 1,,,
,29,stand klep verwarmingsbatterij,luchtgroep 1,,,
,30,temperatuur vertrek verwarmingsbatterij,luchtgroep 1,,,
,31,temperatuur retour verwarmingsbatterij,luchtgroep 1,,,
,32,gevraagde temperatuur pulsielucht,luchtgroep 2,,,
,33,temperatuur pulsielucht,luchtgroep 2,,,
,34,temperatuur extractielucht,luchtgroep 2,,,
,35,Druk of debiet pulsiekanaal,luchtgroep 2,,,
,36,druk of debiet extractiekanaal,luchtgroep 2,,,
,37,temperatuur verse lucht,luchtgroep 2,,,
,38,sturing pulsieventilator,luchtgroep 2,,,
,39,sturing extractieventilator,luchtgroep 2,,,
,40,stand klep verwarmingsbatterij,luchtgroep 2,,,
,41,temperatuur vertrek verwarmingsbatterij,luchtgroep 2,,,
,42,temperatuur retour verwarmingsbatterij,luchtgroep 2,,,
,43,gevraagde ruimtetemperatuur,zone 1,,,
,44,ruimtetemperatuur,zone 1,,,
,45,ruimteco2,zone 1,,,
,46,stand klep verwarming,zone 1,,,
,47,gevraagde ruimtetemperatuur,zone 2,,,
,48,ruimtetemperatuur,zone 2,,,
,49,ruimteco2,zone 2,,,
,50,stand klep verwarming,zone 2,,,
